word,n_occurence,n_title,n_question,ratio_capital,ratio_upper,ratio_before_ques,ratio_noun,ratio_around_kw_tag,ratio_around_kw_understand,ratio_around_kw_study,ratio_around_kw_introduction,ratio_around_kw_explain,ratio_around_kw_principle,ratio_around_kw_interpret,ratio_around_kw_difference,ratio_around_kw_book,ratio_around_kw_knowledge,mean_occur_in_title,mean_position_in_title,ratio_in_title_first,ratio_in_title_last,mean_occur_in_content,mean_position_in_content,ratio_in_content_first,ratio_in_content_last,mean_occur_in_question,is_end_with_s,is_end_with_ing,str_length,is_tag
mucilaginousness,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.81538461538461537,0.0,0.0,1.0,1,0,16,0
woods,14,3,14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.62857142857142856,0.0,0.0,1.0,0.53848222938540635,0.0,0.090909090909090912,1.0769230769230769,1,0,5,0
clotted,19,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58333333333333337,0.16666666666666666,0.0,1.8571428571428572,0.47810344417487272,0.0,0.0,2.375,0,0,7,0
hanging,22,1,19,0.045454545454545456,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,1.0,0.5,1.0,0.0,1.1666666666666667,0.60980287474868178,0.0,0.0,1.2222222222222223,0,1,7,0
bromelain,7,0,3,0.14285714285714285,0.14285714285714285,0.0,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,2.3333333333333335,0.54252631578947363,0.0,0.0,2.3333333333333335,0,0,9,0
woody,2,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.68563432835820892,0.0,0.0,1.0,0,0,5,0
comically,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.59856776897997199,0.0,0.0,1.0,0,0,9,0
localized,4,0,4,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.6386575381140599,0.0,0.0,1.0,0,0,9,0
canes,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.21428571428571427,0.0,0.0,1.0,1,0,5,0
canel,0,0,0,,,,1.0,,,,,,,,,,,0,,0,0,0,,0,0,,0,0,5,0
stipulate,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.36626506024096384,0.0,0.0,1.0,0,0,9,0
