word,n_occurence,n_title,n_question,ratio_capital,ratio_upper,ratio_before_ques,ratio_noun,ratio_around_kw_tag,ratio_around_kw_understand,ratio_around_kw_study,ratio_around_kw_introduction,ratio_around_kw_explain,ratio_around_kw_principle,ratio_around_kw_interpret,ratio_around_kw_difference,ratio_around_kw_book,ratio_around_kw_knowledge,mean_occur_in_title,mean_position_in_title,ratio_in_title_first,ratio_in_title_last,mean_occur_in_content,mean_position_in_content,ratio_in_content_first,ratio_in_content_last,mean_occur_in_question,is_end_with_s,is_end_with_ing,str_length,is_tag
homomorphism,28,5,23,0.035714285714285712,0.0,0.035714285714285712,0.9310344827586207,0.0,0.035714285714285712,0.0,0.0,0.035714285714285712,0.0,0.0,0.0,0.0,0.0,1.0,0.5116666666666666,0.20000000000000001,0.0,1.3333333333333333,0.46819865631352975,0.0,0.055555555555555552,1.45,0,0,12,0
gai,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.89922480620155043,0.0,0.0,1.0,0,0,3,0
ybywoyusvycsobbksxnskqyvpvswkcsobbkusvycsobbkzkzktevsodzkzkwsuoaeolomomrysxnskqy,1,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.038167938931297711,0.0,0.0,1.0,0,0,80,0
circuitry,2,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.3693109987357775,0.0,0.0,1.0,0,0,9,0
hanging,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.49371119674587888,0.0,0.0,1.0,0,1,7,0
ebte,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.6071428571428571,0.0,0.0,1.0,0,0,4,0
trawling,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.30188679245283018,0.0,0.0,1.0,0,1,8,0
wwwqqqwww,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.37007874015748032,0.0,0.0,1.0,0,0,9,0
skipping,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.49581092720848624,0.0,0.0,1.0,0,1,8,0
cryptanalsis,1,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.96551724137931039,0.0,0.0,1.0,1,0,12,0
alphabetic,10,2,8,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.66666666666666663,0.5,0.5,1.3333333333333333,0.57280728761559074,0.0,0.0,1.4285714285714286,0,0,10,0
