"word","POS"
"homomorphism","VBN:2 NN:27"
"bwmjfr","NN:1"
"ybywoyusvycsobbksxnskqyvpvswkcsobbkusvycsobbkzkzktevsodzkzkwsuoaeolomomrysxnskqy","NN:1"
"circuitry","NN:2"
"hanging","VBG:3"
"ebte","JJ:1"
"trawling","VBG:1"
"wwwqqqwww","NN:1"
"cryptanalsis","NN:1"
"alphabetic","VB:1 JJ:19"
"ioannidis","NN:1"
"slothful","JJ:1"
"discribed","VBN:1"
"kaspersky","JJ:3"
"removefirstbytes","NNS:2"
"fractal","JJ:3"
"advices","VBZ:1 NNS:2"
"enddate","NN:1"
"wednesday","JJ:1"
"fakehash","VBP:1 JJ:6 NN:8"
"zzzzzz","VBD:1"
"tohexstringupper","IN:4"
"nullspace","NN:3"
"parameterization","NN:1"
"feasibility","NN:14"
"errors","VB:1 NNS:62"
"cooking","VBG:2"
"usenet","NN:1"
"designing","VBG:82"
"succumb","NN:1"
"aescipher","NN:1"
"widget","NN:11"
"lqnhtooqivzkbagnckopq","JJ:1"
"affiliates","NNS:1"
"china","VBP:2 NN:3"
"affiliated","VBN:1 JJ:1 VBD:2"
"kids","NNS:10"
"controversy","NN:3"
"alternatingly","RB:1"
"rceil","VBZ:1 VB:1 VBP:2 JJ:2 NN:18"
"googlecode","NN:2"
"appropriately","RB:14"
"projection","NN:3"
"publickeyreceiver","VBP:1 NN:1"
"stern","NN:1 JJ:9"
"ylqnnwt","NN:1"
"dnf","NN:1 JJ:2"
"dna","NN:10"
"insecurity","NN:15"
"hextobytearray","NN:5"
"music","NN:14"
"therefore","VB:22 NN:48 VBD:3 VBP:11 WDT:1 RB:179 IN:65"
"dns","NN:3"
"distortions","NNS:1"
"mikero","NN:1"
"jceks","NN:2"
"populars","JJ:1"
"wutizsi","NN:1"
"yahoo","VB:2 NN:7"
"tomes","NNS:1"
"eeaa","NN:3"
"serially","RB:2"
"unpack","VB:3 NN:6 JJ:8"
"deletes","VBZ:2"
"circumstances","NNS:35"
"reingold","NN:3"
"locked","VBN:12 JJ:3 VBD:1"
"jumbling","VBG:1"
"wxjawzhxja","NN:1"
"locker","NN:9"
"gershon","NN:1"
"wang","VB:1 NN:5"
"djcudjs","NN:2"
"want","VB:83 VBP:1744 JJ:4 NN:8"
"xffeeddcc","NN:1"
"absolute","VB:1 VBP:2 NN:8 JJ:20"
"customerfield","NN:1"
"travel","VB:1"
"ztoez","NN:2"
"fleissners","NNS:1"
"playback","NN:1"
"actionscript","NN:1"
"goppa","NNS:1 NN:8"
"torfone","NN:1"
"cryptoxi","NN:1"
"miic","NN:1"
"wrong","VB:3 JJ:566 NN:6 VBP:3 RB:4 IN:2 NNS:1"
"qyoo","NN:1"
"bfend","NN:1"
"recombination","NN:4"
"hwtwwt","NN:1"
"nonsensical","JJ:3"
"govfn","NN:1"
"xdfqhc","NNP:1"
"goldfeld","NN:3 VBD:2"
"welcomed","VBN:5 VBD:1"
"padlength","VBP:1 JJ:1 NN:1"
"matsumoto","NN:2"
"contacternation","NN:1"
"generatedatakeyrequest","JJS:1"
"rewarded","VBN:1"
"activating","VBG:2"
"fis","VBD:1"
"fiv","NN:2"
"fit","VB:34 VBP:9 JJ:6 NN:22 VBN:1"
"fiu","NN:2"
"aedad","NN:1"
"fix","VB:39 NN:14 VBD:2 VBP:7 JJ:3 VBZ:3"
"fiy","NN:1"
"vjpps","JJ:1 NN:5"
"fig","JJ:8 NN:22 VBD:2 VBP:4 RB:3 NNS:1"
"fin","NN:8 JJ:5"
"bankrupts","NNS:1"
"dhsecret","JJ:2 NN:5"
"transformrecursive","JJ:1"
"disturb","VB:1"
"aigzmmsxnqwhvo","NN:1"
"iawauav","NN:1"
"effects","NNS:20"
"multidimensional","JJ:2"
"sixteen","JJ:4"
"intialization","NN:1"
"timeout","NN:7 IN:1"
"uoptuhg","JJ:1"
"anonymise","VB:1 NN:1"
"randcam","NN:1"
"strips","NNS:1"
"kown","VBN:1"
"enviroment","NN:3"
"combinatorial","JJ:7"
"encourage","VB:4"
"adapt","VB:9"
"submitentry","NN:2"
"stamping","VBG:2"
"corrects","VBZ:1 NNS:1"
"jlqu","JJ:1"
"estimate","VB:20 VBP:4 JJ:1 NN:25"
"universally","RB:7"
"axcbhgmyk","NN:1"
"competes","VBZ:1"
"martijn","RB:1 JJ:1"
"gkdmwgm","NN:1"
"anonymisation","NN:1"
"icoitdg","NN:1"
"vieta","NN:1"
"kfb","NN:5"
"megabytes","VBZ:2 NNS:8"
"service","VB:1 NN:168"
"oldz","JJ:2"
"noout","NN:2 IN:6"
"needed","VBN:253 JJ:13 VBD:52"
"oldc","JJ:1"
"oldb","JJ:1"
"master","VB:4 JJ:7 NN:484 RBR:6 VBP:1 RB:2"
"verifyupdate","NN:2"
"padhye","JJ:1"
"idle","JJ:1"
"feeling","VBG:3 NN:31"
"longs","NNS:1"
"spectrum","VBZ:1 NN:4 VBD:1"
"bbnr","NN:1"
"increment","VB:10 VBP:4 JJ:7 NN:21 VBD:1"
"dozen","NN:8"
"foundational","JJ:1"
"affairs","NNS:3"
"courier","NN:1"
"relaxations","NNS:3"
"ptrdiff","NN:1"
"committing","VBG:6"
"diffentent","NN:1"
"limitless","VBP:1"
"metrics","NNS:9"
"simplify","VB:21 VBP:3 NN:1"
"mouth","NN:3"
"icloud","JJ:2"
"expound","VB:1"
"singer","NN:1"
"maji","NN:1"
"nthscuwros","NNS:1"
"purges","NNS:1"
"vertices","NNS:3"
"nettle","NN:1"
"dataconfantiality","NN:2"
"tech","JJ:3 NN:2"
"identicons","NNS:2"
"scream","NN:10"
"oqifh","NN:1"
"saying","VBG:93"
"ltektz","NN:1"
"padded","VBN:50 JJ:38 VBD:35"
"twvwggi","NN:1"
"minimalt","NN:1"
"tempted","VBN:2"
"maxlength","NN:1"
"clicked","VBN:1"
"luby","VBP:1 VB:1 NN:7 JJR:1 JJ:6"
"bliss","NN:5"
"rick","NN:2"
"rich","JJ:2"
"plate","NN:1"
"hprovider","NN:3"
"ceil","VBZ:1 VBP:2 JJ:2 NN:9"
"fhjlqqzhsoynew","JJ:1"
"altogether","RB:5"
"snrdpa","JJ:1"
"putpixel","JJ:1"
"commonjs","NN:1"
"optimise","VB:1"
"nicely","RB:8"
"accordance","NN:5"
"patch","VB:1 NN:10"
"wbxehqn","NN:1"
"programmatic","JJ:3"
"clarified","VBN:2 JJ:2 VBD:4"
"sensitivity","NN:2"
"ccgost","VBD:1"
"clarifies","VBZ:2 NNS:2"
"lots","VBZ:1 NNS:56"
"irr","NN:2"
"oyfeaivhred","VBD:1"
"convex","NN:1"
"iru","NN:1"
"imperfections","NNS:1"
"irk","NN:2 JJ:1"
"irl","JJ:1"
"iro","JJ:1 NN:1"
"xva","NNP:1"
"irc","NN:1 JJ:1"
"strchars","VBP:1 NNS:3"
"requisites","VBZ:2"
"extend","VB:39 VBP:5 NN:5 JJ:2"
"nature","JJ:2 NN:44"
"lapping","VBG:1"
"cut","VB:15 VBN:5 NN:11 VBD:7"
"extent","VB:1 JJ:1 NN:15"
"succeptible","JJ:1"
"rsagen","NN:1"
"keyspace","NN:58 NNP:2"
"resending","NN:1"
"uskincor","JJ:1"
"subround","NN:1"
"eradicate","VB:1"
"rehash","VB:1 VBP:1 JJ:1"
"concatinating","VBG:1"
"smackdown","JJ:1"
"frb","VB:1"
"extractarray","NN:1"
"frf","NN:1"
"triviality","NN:2"
"union","NN:18"
"fri","NN:1"
"fro","VBP:1 JJ:1 NN:1"
"bothers","VBZ:3 NNS:3"
"much","VB:1 RB:390 JJ:546"
"frx","NN:1"
"retrospect","JJ:1 NN:1"
"spit","VB:2 VBN:1"
"dave","VB:4 VBP:2 VBN:1 NN:7"
"nxvypy","JJ:1"
"doubts","NNS:31 NN:1"
"spin","VBP:3 NN:4"
"datatable","JJ:1"
"wildcat","NN:1"
"remainer","NN:1"
"yref","VBP:2 NNP:1"
"employ","VB:8 NN:2 VBD:1 VBP:9 JJ:2 IN:1 VBZ:1"
"boodlmtlovg","NN:1"
"elaborate","VB:15 RB:2 NN:1 JJ:9"
"ephemerality","NN:4"
"conditioned","VBN:4"
"btdzy","NN:1"
"jbwhtdpjdd","NN:1"
"serialisation","VBP:1"
"hone","VB:1"
"hona","NN:1"
"jmnthmooy","NN:1"
"split","VB:44 NN:57 VBD:19 VBN:37 VBP:8 JJ:3"
"principals","NNS:2"
"freeness","NN:2"
"boiled","VBN:1"
"qualifications","NNS:1"
"shiftright","VBD:1"
"academic","JJ:32"
"academia","NN:5"
"senderprivatekey","JJ:1"
"fdenm","NN:1"
"corporate","JJ:4"
"bellow","NN:2 IN:1"
"vqtg","NN:1"
"golden","JJ:3"
"homogeneity","NN:2"
"unarchived","VBN:1"
"hai","NN:1"
"upsides","NNS:1"
"hal","NN:4"
"ham","VBP:1 NN:3"
"han","VBP:1 NN:1"
"hac","VB:4 JJ:1 NN:4"
"had","VBN:10 VBD:412"
"advancement","NN:3"
"fortran","NN:1"
"mcnamara","NN:1"
"emnuzliafvlgsqeimqwmfmrzzflignvjygvubwibctdoxjgsyydkkwatqqsbljuhsovz","VBD:1"
"has","VBZ:2788"
"hat","DT:9 VBP:2 VBN:1 NN:21 WP:32"
"repition","NN:1"
"wcf","VBP:1 NN:1"
"unequivocally","RB:1"
"indicative","JJ:1"
"nrlef","JJ:1"
"shadow","NN:11"
"wck","NN:1"
"sleuthing","NN:1"
"alicd","NN:1"
"alice","VB:182 RP:7 RB:145 NN:1309 VBN:7 VBG:3 VBP:33 JJ:205 IN:2 VBZ:12 NNS:9"
"createelement","NN:2"
"beneficial","JJ:11"
"jhothmy","NN:1"
"hdgguymvya","NN:1"
"postmaster","VBP:1"
"cogv","NN:1"
"bottom","VB:4 VBD:1 JJ:23 NN:23 IN:1"
"cypertext","NN:1"
"unlinke","JJ:1"
"decipherement","NN:1"
"barcode","NN:7"
"authkey","NN:8 JJ:5"
"zvohocp","NN:2"
"anagram","NN:1"
"anomalous","JJ:1"
"adef","NN:1"
"adea","NN:1"
"dnl","NN:2"
"perfrom","VB:1"
"rdsprt","NN:1"
"atsmwc","NN:1"
"maxwell","NN:1"
"dyson","NN:1"
"mbb","NN:1"
"zthcsixnjvotjjfosoiq","NNP:1"
"administer","VBP:1"
"hermitian","JJ:4"
"unrecognisable","JJ:1"
"mbs","NNS:1"
"getattribute","NN:1"
"suffice","VB:18 NN:9"
"grasping","VBG:1"
"wordpress","NN:11 JJ:1"
