"word","POS"
"woods","NNS:38"
"spiders","NNS:15"
"hanging","VB:2 VBG:364 JJ:3 NN:35"
"woody","NN:2"
"trawling","VBG:1"
"localized","VBN:9 JJ:1 VBD:1"
"pipejacking","VBG:1 NN:1"
"chatter","NN:4"
"xpole","NN:1"
"crossbar","NN:11"
"stipulate","VB:1"
"pigment","JJ:1 NN:2"
"bringing","VBG:44 NN:3"
"advices","NNS:8"
"wooded","VBN:1 JJ:4 VBD:1"
"broiler","NN:19"
"wooden","VB:13 NN:111 VBN:10 VBP:4 WDT:1 JJ:651 IN:2 VBZ:2"
"wednesday","VB:1 JJ:3 NN:5"
"circuitry","NN:33"
"stereotypical","JJ:1"
"sooty","JJ:1"
"gaskets","VBZ:1 NNS:19"
"scrapes","NNS:1"
"scraper","NN:15 IN:1"
"desiccant","NN:1"
"feasibility","NN:6"
"bannister","NN:3"
"sustaining","NN:1"
"scraped","VBN:18 JJ:3 VBD:46"
"tvwallmount","NN:2"
"errors","NNS:15"
"reopens","VBZ:1 NNS:1"
"cooking","VBG:52 JJ:5 NN:30"
"slabbed","VBD:1"
"rle","JJ:1"
"designing","VBG:49 NN:1"
"numeral","JJ:1"
"shocks","NNS:16"
"widget","NN:2"
"cunninghamia","NN:1"
"china","VB:4 VBG:1 NN:15 VBP:1 JJ:1 NNS:2"
"gambrel","NN:9"
"wfrcdn","NN:1"
"batery","NN:2"
"kids","NNS:168 JJ:1"
"climbed","VB:1 VBN:2 VBD:11"
"controversy","NN:3"
"natures","NNS:1"
"millimetres","NNS:7"
"appropriately","RB:39"
"topography","NN:1"
"projection","NN:22"
"wikimedia","NN:2"
"fretwork","VB:1"
"lengthen","VB:5 JJ:1"
"orangish","JJ:1"
"conintue","VBP:1"
"stero","JJ:1"
"stern","JJ:1"
"studded","VBN:7 JJ:1 VBD:3"
"dne","JJ:1"
"dna","NN:1"
"sidebars","NNS:1"
"dnt","NNS:1"
"music","NN:36"
"therefore","VB:8 NN:38 VBD:5 VBP:4 EX:1 RB:96 IN:47"
"usboutlet","JJ:1"
"diswasher","NN:2"
"yahoo","JJR:1 NN:3"
"prefilling","VBG:1"
"serially","RB:1"
"unpack","IN:1"
"copse","NN:1"
"intake","VB:26 VBP:20 NNS:1 NN:121 JJ:11"
"mullions","NNS:2"
"locked","VBN:61 JJ:13 VBD:25"
"nonbearing","VBG:1 NN:1"
"locker","NN:7"
"expressively","RB:2"
"wana","JJ:1"
"stubbornly","RB:1"
"wand","VB:1 VBP:2 NN:9"
"pints","NNS:2"
"titanium","VB:1 NN:19"
"want","VB:394 VBP:4986 JJ:11 NN:51"
"cookers","NNS:2"
"absolute","JJ:16 NN:7"
"kneewall","NN:7"
"travel","VB:40 VBP:10 JJ:3 NN:29 VBD:1"
"copious","JJ:4"
"cutback","NN:1"
"playback","NN:1"
"barstools","NNS:3"
"blifioizfcumzpmshzj","NN:1"
"cadence","NN:1"
"assimilated","VBN:1"
