"","MeanDecreaseAccuracy"
"n_occurence",25.913971817486
"n_title",47.4501136434503
"n_question",23.6766536495942
"ratio_capital",32.6088927988061
"ratio_upper",8.673513139857
"ratio_before_ques",27.7530027778059
"ratio_noun",49.5169809840915
"ratio_around_kw_tag",-1.35631729572549
"ratio_around_kw_understand",1.84360970133087
"ratio_around_kw_study",4.18279190433354
"ratio_around_kw_introduction",-0.9379479710645
"ratio_around_kw_explain",3.47344890054733
"ratio_around_kw_principle",0.0129054311901591
"ratio_around_kw_interpret",-3.13114427050089
"ratio_around_kw_difference",4.74716015678613
"ratio_around_kw_book",2.77090155042129
"ratio_around_kw_knowledge",2.33809396841273
"mean_occur_in_title",8.1300038817275
"mean_position_in_title",20.2090053392302
"ratio_in_title_first",24.015966129415
"ratio_in_title_last",28.8201322010672
"mean_occur_in_content",28.0972655170322
"mean_position_in_content",13.1953162519105
"ratio_in_content_first",18.0239879609324
"ratio_in_content_last",17.4113777985297
"mean_occur_in_question",32.8953918252071
"is_end_with_s",5.92663313817032
"is_end_with_ing",7.6062222217621
"str_length",18.9745038440746
