"word","prob","noun_ratio"
"argyres",0.186,1
"homomorphism",0.446,1
"tumours",0.014,1
"ginzburg",0.352,0.972222222222222
"circuitry",0.578,1
"spiders",0.096,1
"hanging",0.378,0.150943396226415
"localized",0.218,0
"regularize",0.142,0.03125
"canes",0.1,1
"hermann",0.246,0.75
"discribed",0.004,0
"bringing",0.136,0.01
"receiving",0.462,0.210191082802548
"vibrational",0.466,0.0555555555555556
"wooden",0.2,0.101694915254237
"shows",0.126,0.116262482168331
"wronskian",0.276,0.384615384615385
"francesco",0.46,0.813333333333333
"feasibility",0.686,1
"miniatures",0.226,1
"sustaining",0.178,0.0434782608695652
"inanimate",0.08,0.5
"errors",0.71,1
"semicircular",0.308,0.181818181818182
"cooking",0.75,0.431818181818182
"lindhard",0.64,0.777777777777778
"designing",0.41,0
"shocks",0.27,1
"crouch",0.222,0
"perforations",0.282,1
"china",0.174,0.862068965517241
"rlc",0.76,0.914285714285714
"natured",0.028,0
"kids",0.392,0.981481481481482
"uplifting",0.03,0
"controversy",0.18,0.942857142857143
"ueber",0.032,0.666666666666667
"natures",0.122,0.8
"golden",0.328,0
"topography",0.258,0.75
"planckbrane",0.04,1
"projection",0.848,0.989733059548255
"diametrically",0.06,0
"stern",0.474,0.0112994350282486
"dna",0.664,0.842105263157895
"definiteness",0.29,0.777777777777778
"music",0.814,1
"therefore",0.27,0.130909090909091
"distortions",0.242,1
"duals",0.414,1
"populations",0.288,1
"meteorologist",0.352,1
"circumstances",0.47,1
"equilateral",0.17,0
"locked",0.12,0
"confining",0.256,0.268292682926829
"generalia",0.034,1
"titanium",0.566,0.928571428571429
"want",0.126,0.007747570080293
"cookers",0.212,1
"absolute",0.654,0.304453441295547
"travel",0.778,0.346193952033368
"airlocks",0.04,1
"playback",0.066,0.8
"dinosaurs",0.396,1
"cft",0.86,0.564455569461827
"photopeak",0.25,1
"domed",0.022,0
"recombination",0.798,1
"nonsensical",0.098,0
"concurrence",0.646,1
"wherein",0.046,0.390243902439024
"fit",0.276,0.280507131537242
"fractal",0.682,0.0632911392405063
"fix",0.394,0.114525139664804
"illuminance",0.69,0.96875
"fig",0.256,0.666666666666667
"fid",0.06,1
"fin",0.594,0.901960784313726
"photocell",0.326,1
"effects",0.632,1
"rudders",0.042,1
"multidimensional",0.322,0
"arrow",0.866,0.908571428571429
"covarient",0.108,0.2
"telescope",0.972,0.956262425447316
"allan",0.492,0.619047619047619
"untwisting",0.026,0
"zat",0.138,1
"stabilised",0.004,0
"mohrs",0.386,0
"reproductibility",0.416,1
"unital",0.042,0
"combinatorial",0.104,0
"adapt",0.086,0
"size",0.752,1
"estimate",0.61,0.393605292171996
"universally",0.118,0
"disturbed",0.104,0
"loudness",0.756,0.722222222222222
"nonperturbative",0.268,0
"olds",0.05,0.8
"service",0.44,0.953488372093023
"needed",0.088,0
"master",0.692,0.886138613861386
"zeroth",0.398,0.564705882352941
"positively",0.186,0
"maglev",0.564,0.956521739130435
"regulator",0.678,0.975308641975309
"feeling",0.314,0.765217391304348
"spectrum",0.924,0.94557477110885
"increment",0.398,0.85
"foundational",0.212,0
"courier",0.034,0.666666666666667
"relaxations",0.16,1
"opalescence",0.274,1
"andromedae",0.088,1
"diminishing",0.266,0.136363636363636
"metrics",0.514,1
"simplify",0.072,0.0348837209302326
"mouth",0.632,0.979020979020979
"precisly",0.11,0
"vertices",0.418,0.996108949416342
"tech",0.262,0.789473684210526
"prevention",0.324,1
"scream",0.004,0
"saying",0.19,0.00618238021638331
"lda",0.228,0.833333333333333
"rice",0.78,0.973684210526316
"plate",0.712,0.972119936875329
