word,n_occurence,n_title,n_question,ratio_capital,ratio_upper,ratio_before_ques,ratio_noun,ratio_around_kw_tag,ratio_around_kw_understand,ratio_around_kw_study,ratio_around_kw_introduction,ratio_around_kw_explain,ratio_around_kw_principle,ratio_around_kw_interpret,ratio_around_kw_difference,ratio_around_kw_book,ratio_around_kw_knowledge,mean_occur_in_title,mean_position_in_title,ratio_in_title_first,ratio_in_title_last,mean_occur_in_content,mean_position_in_content,ratio_in_content_first,ratio_in_content_last,mean_occur_in_question,is_end_with_s,is_end_with_ing,str_length,is_tag
mbasic,0,0,0,,,,0.0,,,,,,,,,,,0,,0,0,0,,0,0,,0,0,6,0
func,5,0,2,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,3.0,0.73360865290068822,0.0,0.0,3.0,0,0,4,0
gyroscpe,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.28000000000000003,0.0,0.0,1.0,0,0,8,0
yellow,10,0,8,0.29999999999999999,0.10000000000000001,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.25,0.52614857501912515,0.0,0.0,1.25,0,0,6,0
four,60,1,51,0.083333333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,1.26,0.33966765148581318,0.02,0.0,1.28,0,0,4,0
currentroll,0,0,0,,,,1.0,,,,,,,,,,,0,,0,0,0,,0,0,,0,0,11,0
prefix,0,0,0,,,,1.0,,,,,,,,,,,0,,0,0,0,,0,0,,0,0,6,0
circuitry,9,0,6,0.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.6666666666666667,0.52596539152807431,0.0,0.0,1.6666666666666667,0,0,9,0
spiders,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.23846153846153847,0.0,0.0,1.0,1,0,7,0
hanging,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.27777777777777779,0.0,0.0,1.0,0,1,7,0
saturating,6,1,5,0.83333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.25,0.58267426124180111,0.0,0.0,1.5,0,1,10,0
serviceport,0,0,0,,,,1.0,,,,,,,,,,,0,,0,0,0,,0,0,,0,0,11,0
centimeter,9,1,7,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33333333333333331,0.0,0.0,1.8333333333333333,0.58987739463218147,0.0,0.0,2.0,0,0,10,0
localized,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.60785471166596383,0.0,0.0,1.0,0,0,9,0
shure,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.51470588235294112,0.0,0.0,1.0,0,0,5,0
increase,89,5,72,0.056179775280898875,0.0,0.011235955056179775,0.25555555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37666666666666671,0.59999999999999998,0.0,1.3432835820895523,0.57201246298666197,0.014925373134328358,0.0,1.3571428571428572,0,0,8,0
rotatation,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.01680672268907563,0.0,0.0,1.0,0,0,10,0
drobotics,0,0,0,,,,1.0,,,,,,,,,,,0,,0,0,0,,0,0,,1,0,9,0
electricity,4,1,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.5,0.66098484848484851,0.0,0.0,2.0,0,0,11,0
quadruple,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.24657534246575341,0.0,0.0,1.0,0,0,9,0
nodemcu,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.021739130434782608,0.0,0.0,1.0,0,0,7,0
cyberglove,1,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.02,1.0,0.0,1.0,0,0,10,0
makerarm,2,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,2.0,0.3910891089108911,0.0,0.0,2.0,0,0,8,0
impoverishment,3,1,2,0.0,0.0,0.0,0.6666666666666666,0.0,0.33333333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.59999999999999998,0.0,0.0,2.0,0.81707317073170738,0.0,0.0,3.0,0,0,14,0
blynksimpleesp,0,0,0,,,,1.0,,,,,,,,,,,0,,0,0,0,,0,0,,0,0,14,0
offsetfrom,0,0,0,,,,0.0,,,,,,,,,,,0,,0,0,0,,0,0,,0,0,10,0
sinking,2,1,2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5714285714285714,0.0,0.0,1.0,0.53246753246753242,0.0,0.0,1.0,0,1,7,0
swivel,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.32142857142857145,0.0,0.0,1.0,0,0,6,0
