"word","POS"
"gai","NN:2"
"woods","NNS:11"
"spiders","NNS:4"
"hanging","VBG:20 NN:1 JJ:1"
"francesca","VBP:1 JJ:2 NN:2"
"trawling","VBG:1"
"localized","VBN:3 JJ:4"
"chanthaburi","NN:1"
"refunding","VBG:8"
"iguaz","VB:3 NN:2 JJ:1"
"touristed","JJ:1"
"stipulate","VB:1 VBP:3 NN:1"
"bratislava","VB:8 NN:23 VBN:2 VBP:1 JJ:4 VBZ:1"
"tourister","NN:1"
"appropriation","NN:1"
"taj","VB:1 JJ:1 NN:15"
"fmgomes","NNS:1"
"manado","NN:3"
"medicament","NN:1"
"bringing","VB:2 VBG:207 NN:5"
"advices","VBZ:2 NNS:13"
"wooded","VBN:1 JJ:2"
"grueling","VBG:1"
"wooden","JJ:6 NN:6"
"karen","NNS:2"
"wednesday","VBZ:1 VBP:1 NN:17 JJ:10"
"normanby","VB:1 NNS:1"
"businesselite","RB:1"
"salacgriva","NN:2"
"asama","NN:2"
"bbqs","NN:3"
"targu","JJ:1"
"francesco","NN:1"
"shorthaul","NN:2"
"feasibility","NN:7"
"miniatures","NNS:1"
"consenting","VBG:1"
"errors","NNS:6"
"deferred","VB:1 VBN:1 JJ:2 VBD:1"
"centimeter","NN:1"
"cooking","VBG:19 JJ:3 NN:20"
"paphos","VB:1 JJ:1 NN:2"
"overages","NNS:1"
"bochum","VB:5 NN:1"
"artofmanliness","NN:1"
"widget","NN:1"
"crouch","JJ:1"
"lawrenceexpy","VBP:1"
"gilimanuk","JJ:1 NN:1"
"affiliates","NNS:4"
"baarle","JJ:3 NN:2"
"china","VB:177 RB:1 NN:714 VBD:3 VBN:7 CD:1 VBP:14 JJ:58 VBZ:5 NNS:56"
"affiliated","VBN:10 VBD:1"
"confronts","NNS:2"
"phillipine","JJ:1"
"sheung","NN:1"
"kids","VB:1 VBP:1 NNS:213 VBN:1"
"climbed","VBN:2 NN:1 VBD:3"
"controversy","NN:3"
"natures","NNS:1"
"spotty","JJ:1"
"climber","NN:2"
"appropriately","RB:5"
"projection","NN:1"
"wikimedia","VB:3 VBP:5 JJ:3 NN:13 IN:1"
"timeconstrains","NNS:1"
